@relation teste_weka

@attribute Breed {Australian_Shepherd,Chihuahua,Siberian_Husky,Boxer,Labrador_Retriever,Bulldog,Rottweiler,German_Shepherd,Poodle,Doberman,Great_Dane,Beagle,Golden_Retriever,Dachshund,Yorkshire_Terrier}
@attribute Breed_Size {Medium,Small,Large}
@attribute Sex {Male,Female}
@attribute Age numeric
@attribute Weight_lbs numeric
@attribute SpayNeuter_Status {Neutered,Spayed}
@attribute Daily_Activity_Level {Active,Very_Active,Moderate,Low}
@attribute Diet {Home_cooked,Wet_food,Special_diet,Hard_food}
@attribute Food_Brand {Wellness,Special,Purina,Iams,Blue_Buffalo,Royal_Canin,Nutro,Pedigree,Hills_Science}
@attribute Daily_Walk_Distance_miles numeric
@attribute Other_Pets_in_Household {No,Yes}
@attribute Medications {Yes,No}
@attribute Seizures {No,Yes}
@attribute Hours_of_Sleep numeric
@attribute Play_Time_hrs numeric
@attribute Owner_Activity_Level {Active,Low,Moderate,Very_Active}
@attribute Annual_Vet_Visits numeric
@attribute Average_Temperature_F numeric
@attribute Synthetic {Yes}
@attribute Healthy {Yes,No}

@data
Doberman,Large,Male,10,59,Spayed,?,Wet_food,Wellness,3,No,Yes,No,8,2,?,1,67,Yes,No
Dachshund,Small,Female,2,35,?,Low,Home_cooked,Special,2,No,No,No,12,1,Low,2,66,Yes,Yes
Golden_Retriever,?,Male,2,73,Spayed,Active,Wet_food,Royal_Canin,1,Yes,No,No,?,3,?,1,73,Yes,Yes
Rottweiler,Large,Male,2,19,Spayed,Active,Hard_food,Iams,4,No,Yes,Yes,12,2,Active,2,46,Yes,No
Great_Dane,Large,Male,11,33,Neutered,?,?,Blue_Buffalo,3,Yes,No,No,10,2,Low,1,93,Yes,Yes
Australian_Shepherd,Medium,Male,6,19,?,Moderate,Home_cooked,Special,2,No,No,No,12,1,Active,1,58,Yes,Yes
Chihuahua,Small,Male,13,89,Neutered,Very_Active,Special_diet,Royal_Canin,2,No,No,No,11,4,Moderate,2,83,Yes,Yes
Doberman,Large,Female,8,22,?,Low,?,Hills_Science,3,No,Yes,No,11,1,Active,1,46,Yes,No
Rottweiler,Large,Male,10,35,Neutered,Low,Special_diet,Pedigree,2,Yes,Yes,No,12,2,?,0,64,Yes,No
Rottweiler,Large,Male,5,26,Spayed,Very_Active,Hard_food,Pedigree,3,Yes,Yes,No,?,3,?,4,92,Yes,Yes
Chihuahua,Small,Male,8,23,Spayed,Moderate,Home_cooked,Special,3,No,No,No,12,1,Moderate,3,70,Yes,Yes
Beagle,Small,Female,13,72,Neutered,Low,Hard_food,Purina,0,No,Yes,No,10,2,Low,2,68,Yes,No
Siberian_Husky,Medium,?,7,48,Neutered,Low,Home_cooked,Special,5,Yes,No,No,10,2,Moderate,2,53,Yes,Yes
Siberian_Husky,Medium,Female,11,25,Neutered,Low,Hard_food,Pedigree,1,No,Yes,No,10,3,Low,3,66,Yes,No
Dachshund,Small,Male,1,37,?,?,Special_diet,Pedigree,1,Yes,Yes,No,14,0,Active,2,72,Yes,No
Golden_Retriever,Large,Male,8,35,?,Active,Home_cooked,Special,0,Yes,No,No,12,0,Moderate,1,67,Yes,Yes
Yorkshire_Terrier,Small,Female,1,43,Neutered,Moderate,Special_diet,Nutro,4,Yes,No,No,12,0,?,0,65,Yes,Yes
Beagle,Small,?,6,43,Neutered,?,Wet_food,Hills_Science,3,No,Yes,No,12,2,Very_Active,0,73,Yes,No
Golden_Retriever,Large,Female,5,45,Neutered,Low,Wet_food,Nutro,4,?,No,No,?,2,Low,1,55,Yes,Yes
Doberman,Large,Male,7,70,Spayed,Low,Home_cooked,Special,4,No,Yes,No,10,3,Active,3,81,Yes,Yes
Dachshund,Small,Female,13,48,?,Low,Home_cooked,Special,2,Yes,Yes,No,11,0,Moderate,2,62,Yes,No
Great_Dane,Large,Male,7,55,Spayed,Active,Home_cooked,Special,4,Yes,Yes,No,11,0,Very_Active,1,50,Yes,Yes
?,Medium,Male,8,49,?,?,Special_diet,Royal_Canin,3,Yes,No,No,9,3,?,?,82,Yes,Yes
Golden_Retriever,Large,Male,3,35,?,Very_Active,Special_diet,Blue_Buffalo,3,Yes,Yes,No,12,2,Active,3,76,Yes,Yes
Rottweiler,Large,Female,10,34,Spayed,Moderate,Wet_food,Wellness,3,No,No,No,11,2,Active,1,73,Yes,Yes
Doberman,Large,Female,12,51,Spayed,Moderate,Home_cooked,Special,4,No,Yes,No,10,3,Moderate,2,79,Yes,Yes
Australian_Shepherd,Medium,Female,10,97,?,Very_Active,Special_diet,Wellness,3,Yes,Yes,No,13,1,Moderate,1,73,Yes,No
Rottweiler,Large,Female,5,66,?,Low,Wet_food,Wellness,1,No,No,No,11,2,Active,3,58,Yes,Yes
Australian_Shepherd,Medium,Male,1,21,?,Very_Active,Special_diet,Blue_Buffalo,4,No,No,No,12,2,Very_Active,1,50,Yes,Yes
Dachshund,Small,Female,11,51,Neutered,?,Wet_food,Royal_Canin,3,Yes,?,No,10,3,Very_Active,2,62,Yes,No
Chihuahua,Small,Female,3,67,?,Low,Home_cooked,Special,4,No,Yes,No,9,0,?,0,69,Yes,No
?,Large,Female,10,52,Spayed,Moderate,Hard_food,Blue_Buffalo,3,Yes,Yes,No,12,1,Low,0,53,Yes,No
Doberman,Large,Female,2,52,Neutered,Low,Wet_food,Pedigree,4,No,No,No,8,3,Very_Active,0,85,Yes,Yes
Doberman,Large,Male,?,47,?,?,Special_diet,Blue_Buffalo,0,Yes,No,No,9,1,Active,1,68,Yes,Yes
German_Shepherd,Large,Female,5,52,Spayed,Very_Active,Home_cooked,Special,4,No,No,No,11,2,Low,3,45,Yes,Yes
Great_Dane,Large,Male,5,48,?,Low,Special_diet,Purina,4,Yes,No,No,10,1,Low,1,81,Yes,Yes
Poodle,Small,Female,1,48,Neutered,Low,Hard_food,Purina,1,Yes,No,No,10,?,Moderate,4,66,Yes,Yes
Beagle,Small,Female,9,58,Neutered,Active,?,Wellness,3,No,No,No,12,4,Active,?,62,Yes,Yes
Great_Dane,Large,Female,11,58,Spayed,Active,Wet_food,Royal_Canin,4,Yes,No,No,10,2,Moderate,0,71,Yes,Yes
German_Shepherd,Large,Female,4,38,Spayed,Very_Active,Special_diet,Nutro,2,No,No,No,11,2,?,4,60,Yes,Yes
Golden_Retriever,Large,Male,9,45,Neutered,?,Special_diet,Royal_Canin,1,No,No,No,10,2,Very_Active,1,?,Yes,Yes
Bulldog,Medium,Male,3,53,Neutered,Moderate,Home_cooked,Special,3,No,Yes,?,11,1,Low,3,70,Yes,Yes
German_Shepherd,Large,Female,9,63,Neutered,Active,Home_cooked,Special,3,No,Yes,No,10,1,?,1,44,Yes,Yes
Chihuahua,Small,Male,4,66,?,Very_Active,Hard_food,Royal_Canin,3,No,No,No,9,0,Low,1,48,Yes,Yes
Bulldog,Medium,Male,2,37,Spayed,Active,Wet_food,Hills_Science,0,Yes,No,No,11,1,Low,0,73,Yes,Yes
German_Shepherd,Large,Female,12,67,?,Very_Active,Wet_food,Purina,0,Yes,Yes,No,12,1,Very_Active,1,58,Yes,No
Australian_Shepherd,Medium,Male,1,36,Spayed,Low,Home_cooked,Special,3,No,No,Yes,10,3,Moderate,4,66,Yes,Yes
Great_Dane,Large,Male,8,52,Neutered,Very_Active,Special_diet,Purina,?,No,No,No,11,1,?,0,73,Yes,Yes
Yorkshire_Terrier,Small,Female,2,56,Neutered,Low,Wet_food,Blue_Buffalo,3,No,No,No,11,1,?,2,53,Yes,Yes
Labrador_Retriever,Large,Female,8,22,Neutered,Moderate,Special_diet,Purina,5,Yes,Yes,No,12,2,Very_Active,0,54,Yes,No
Siberian_Husky,Medium,Male,10,56,Neutered,Active,Hard_food,Hills_Science,3,No,No,No,12,1,Low,2,36,Yes,Yes
Siberian_Husky,Medium,Female,5,29,?,Very_Active,Home_cooked,Special,2,No,Yes,No,13,1,Moderate,0,92,Yes,Yes
Chihuahua,Small,Female,5,35,Neutered,?,Wet_food,Pedigree,1,No,?,No,10,0,?,0,67,Yes,No
German_Shepherd,Large,Male,6,53,Spayed,Active,Wet_food,Blue_Buffalo,6,Yes,Yes,No,11,2,Very_Active,0,68,Yes,Yes
Rottweiler,Large,Male,1,52,Spayed,Active,Special_diet,Wellness,0,No,Yes,No,12,2,Active,1,67,Yes,Yes
Chihuahua,Small,Male,8,52,Spayed,Very_Active,Special_diet,Nutro,2,Yes,Yes,No,10,2,Very_Active,4,66,Yes,Yes
Rottweiler,?,Male,10,40,Neutered,Very_Active,Special_diet,Pedigree,3,No,No,No,10,1,Moderate,1,75,Yes,Yes
Siberian_Husky,Medium,Female,12,17,Neutered,Moderate,Hard_food,Royal_Canin,2,?,Yes,No,11,2,?,2,78,Yes,No
Dachshund,Small,Male,12,71,Spayed,Very_Active,Special_diet,Pedigree,0,No,Yes,No,13,0,Very_Active,0,78,Yes,Yes
Siberian_Husky,Medium,Male,13,46,Neutered,Very_Active,Special_diet,Hills_Science,4,No,Yes,Yes,11,1,?,4,43,Yes,Yes
Poodle,Small,Female,8,59,?,Active,Special_diet,Blue_Buffalo,3,No,No,No,10,2,Very_Active,1,68,Yes,Yes
Siberian_Husky,Medium,Female,12,68,Neutered,?,Home_cooked,Special,1,No,No,No,8,1,Active,2,71,Yes,Yes
Australian_Shepherd,Medium,Male,3,34,?,?,Home_cooked,Special,4,Yes,Yes,No,11,1,?,2,79,Yes,Yes
Siberian_Husky,Medium,Male,9,45,?,Moderate,Home_cooked,Special,2,Yes,Yes,No,?,0,Low,0,72,Yes,No
Dachshund,Small,Female,4,57,Neutered,Active,Special_diet,Iams,0,No,No,No,9,2,Low,0,69,Yes,Yes
Labrador_Retriever,Large,Female,7,61,Spayed,Moderate,Home_cooked,Special,3,Yes,Yes,No,11,0,Low,1,99,Yes,Yes
Great_Dane,Large,Female,1,44,Spayed,?,Wet_food,Nutro,3,No,Yes,No,11,2,?,4,?,Yes,No
Yorkshire_Terrier,Small,Female,5,53,Neutered,Low,Home_cooked,Special,1,Yes,No,No,9,4,?,1,69,Yes,Yes
Boxer,Medium,Male,2,58,?,?,Hard_food,Blue_Buffalo,3,No,Yes,No,10,2,?,2,51,Yes,No
Siberian_Husky,Medium,Male,8,42,Neutered,Moderate,Home_cooked,Special,?,Yes,Yes,No,10,2,Very_Active,0,41,Yes,Yes
Bulldog,Medium,Male,9,56,Spayed,Low,Special_diet,Hills_Science,3,No,No,No,14,1,Active,3,82,Yes,Yes
Golden_Retriever,Large,Male,9,28,?,Low,Wet_food,Blue_Buffalo,3,Yes,Yes,No,10,0,?,0,55,Yes,No
Labrador_Retriever,Large,Male,9,26,Neutered,?,Wet_food,Hills_Science,6,Yes,Yes,No,10,1,?,3,81,Yes,No
Dachshund,Small,Male,2,50,?,Moderate,Wet_food,Nutro,2,No,No,?,12,3,Active,1,56,Yes,Yes
Labrador_Retriever,Large,Male,7,31,Neutered,Low,Special_diet,Nutro,4,Yes,Yes,No,11,0,Active,1,70,Yes,Yes
Bulldog,Medium,Female,13,68,Spayed,Low,Hard_food,Nutro,5,Yes,No,No,13,1,Low,3,52,Yes,Yes
Rottweiler,Large,Female,3,55,Neutered,Moderate,Home_cooked,Special,2,Yes,Yes,No,12,1,Moderate,1,46,Yes,Yes
?,Large,Male,4,28,?,Moderate,Home_cooked,Special,1,No,No,No,9,3,Very_Active,1,66,Yes,Yes
Labrador_Retriever,Large,Male,13,62,Spayed,Low,Home_cooked,Special,3,No,No,No,13,1,?,1,55,Yes,Yes
Great_Dane,Large,Female,13,41,Spayed,Active,Hard_food,Hills_Science,3,Yes,Yes,No,8,1,?,1,53,Yes,Yes
Beagle,Small,Female,9,43,?,Low,?,Special,3,No,No,No,13,2,Moderate,2,37,Yes,Yes
Boxer,Medium,Male,8,46,Spayed,Moderate,Special_diet,Hills_Science,2,No,Yes,No,14,3,?,2,52,Yes,Yes
Great_Dane,Large,Male,10,45,Neutered,Active,Wet_food,Royal_Canin,?,Yes,Yes,No,11,?,Active,2,50,Yes,Yes
Doberman,Large,Male,5,58,?,Active,Home_cooked,Special,7,Yes,Yes,No,12,1,Active,3,37,Yes,Yes
Chihuahua,Small,Male,9,51,Spayed,?,Special_diet,Hills_Science,1,No,No,No,13,0,Very_Active,2,47,Yes,Yes
Poodle,Small,Female,1,41,Spayed,?,Hard_food,Nutro,2,Yes,Yes,No,11,2,Low,2,54,Yes,No
Golden_Retriever,Large,Female,3,41,Spayed,Very_Active,Special_diet,Nutro,4,No,No,No,11,1,Active,3,?,?,Yes
Bulldog,Medium,Male,7,39,Spayed,Very_Active,Wet_food,Royal_Canin,3,Yes,No,No,13,0,Active,3,51,Yes,Yes
Australian_Shepherd,Medium,Male,4,23,Neutered,Moderate,Home_cooked,Special,3,No,Yes,Yes,11,2,Moderate,?,67,Yes,No
Great_Dane,Large,Female,9,42,Spayed,Active,Special_diet,Iams,1,No,No,No,11,2,Active,2,60,Yes,Yes
Golden_Retriever,Large,Male,5,41,Neutered,Moderate,Hard_food,Iams,3,No,No,No,10,1,Very_Active,1,44,Yes,Yes
Chihuahua,Small,Male,1,64,?,?,Home_cooked,Special,5,Yes,Yes,No,9,2,?,1,80,Yes,No
Beagle,Small,Male,13,37,?,?,Hard_food,Pedigree,0,No,No,No,11,3,?,1,65,Yes,No
Australian_Shepherd,Medium,Male,13,51,Spayed,Active,Hard_food,Royal_Canin,5,No,Yes,No,10,0,Very_Active,1,61,Yes,Yes
Australian_Shepherd,Medium,Female,7,65,Neutered,Moderate,Wet_food,Purina,4,Yes,No,?,11,1,Low,1,58,Yes,Yes
Golden_Retriever,Large,?,9,39,Neutered,Active,Wet_food,Royal_Canin,1,No,Yes,No,12,3,Active,1,62,Yes,Yes
Boxer,Medium,Female,2,40,Spayed,Very_Active,Wet_food,Pedigree,3,Yes,Yes,No,11,1,Active,1,39,Yes,Yes
Labrador_Retriever,Large,Male,11,?,Spayed,Active,Hard_food,Nutro,3,No,Yes,No,12,2,Low,0,76,Yes,No
Poodle,Small,Female,11,23,Spayed,?,Wet_food,?,0,No,No,No,13,2,Low,1,52,Yes,No
Siberian_Husky,Medium,Male,9,44,Neutered,Very_Active,Wet_food,Blue_Buffalo,3,Yes,Yes,No,11,0,Very_Active,1,82,Yes,Yes
German_Shepherd,Large,Male,2,72,Spayed,Moderate,Home_cooked,Special,0,Yes,Yes,No,11,0,Low,2,57,Yes,Yes
German_Shepherd,Large,Female,10,53,?,Moderate,Wet_food,Hills_Science,1,No,Yes,No,13,1,?,1,76,Yes,No
Siberian_Husky,?,Male,3,47,Spayed,Active,Home_cooked,Special,2,No,No,No,10,0,Moderate,0,62,Yes,Yes
Poodle,Small,Male,13,56,Spayed,Low,Home_cooked,Special,3,Yes,No,No,12,2,Moderate,0,43,Yes,Yes
Labrador_Retriever,Large,Female,2,?,Neutered,Active,Home_cooked,Special,2,Yes,No,No,10,3,Low,0,91,Yes,Yes
Rottweiler,Large,Male,8,50,Spayed,Active,Hard_food,Hills_Science,2,Yes,No,No,10,1,?,2,91,Yes,Yes
Bulldog,Medium,Female,8,40,Spayed,?,?,Pedigree,5,No,No,No,9,1,Active,2,75,Yes,Yes
Chihuahua,Small,Female,11,40,Neutered,?,Special_diet,Purina,2,No,Yes,No,11,2,?,1,60,Yes,Yes
Beagle,Small,Female,4,74,?,Moderate,Home_cooked,Special,3,Yes,No,No,11,1,Moderate,0,36,Yes,Yes
German_Shepherd,Large,Female,10,26,Spayed,Active,Home_cooked,Special,0,Yes,Yes,No,11,2,Very_Active,0,55,Yes,Yes
Poodle,Small,Female,?,38,?,Low,Special_diet,Pedigree,2,Yes,Yes,No,9,2,Active,0,85,?,No
Boxer,Medium,Female,9,29,Neutered,Very_Active,Wet_food,Pedigree,2,Yes,Yes,No,12,2,Moderate,0,91,Yes,No
Rottweiler,Large,Female,?,46,?,Active,Hard_food,Pedigree,1,Yes,No,No,10,1,Active,3,?,Yes,Yes
Boxer,Medium,Female,10,26,Neutered,Moderate,Hard_food,Blue_Buffalo,3,Yes,Yes,No,11,1,?,1,58,Yes,No
Rottweiler,Large,Male,7,61,Neutered,Low,Wet_food,Blue_Buffalo,2,No,No,No,10,2,Very_Active,1,55,Yes,Yes
?,Large,Male,2,44,Neutered,Moderate,Special_diet,Purina,2,Yes,No,No,9,1,Very_Active,0,72,Yes,Yes
?,Large,Male,12,41,Neutered,Low,Hard_food,Nutro,3,No,Yes,No,8,1,Moderate,1,30,Yes,No
Poodle,Small,Male,6,20,Neutered,Active,Home_cooked,Special,3,No,No,No,13,2,Low,1,50,Yes,Yes
Australian_Shepherd,Medium,Female,10,72,?,Active,Home_cooked,Special,0,No,No,No,12,2,Very_Active,1,85,Yes,Yes
Golden_Retriever,Large,Male,11,40,Spayed,Very_Active,Hard_food,Pedigree,3,Yes,Yes,No,?,2,Active,1,42,Yes,Yes
Boxer,Medium,Male,6,31,Neutered,Very_Active,Special_diet,Purina,4,Yes,?,No,12,1,Moderate,3,58,Yes,Yes
Bulldog,Medium,Male,7,41,?,Moderate,?,Hills_Science,4,Yes,Yes,No,10,1,?,4,58,Yes,Yes
?,Large,Female,2,38,?,Active,Special_diet,Royal_Canin,4,Yes,Yes,No,11,2,?,1,69,Yes,Yes
Dachshund,Small,Male,6,59,?,?,Home_cooked,Special,5,Yes,No,No,12,?,Very_Active,1,63,Yes,Yes
Poodle,Small,Male,12,24,?,Moderate,Hard_food,Royal_Canin,4,No,No,No,11,2,Moderate,1,68,Yes,No
Golden_Retriever,Large,Male,9,54,?,Active,Home_cooked,Special,4,Yes,No,No,8,2,Very_Active,0,?,Yes,Yes
Australian_Shepherd,Medium,Male,8,27,?,?,Wet_food,Blue_Buffalo,2,Yes,Yes,No,9,0,Very_Active,1,70,Yes,No
Boxer,Medium,Male,1,51,?,Very_Active,Wet_food,Wellness,5,No,Yes,No,12,3,Low,3,88,Yes,No
Great_Dane,Large,Female,3,53,Neutered,?,Special_diet,Iams,4,Yes,No,No,11,2,Very_Active,0,98,Yes,Yes
Labrador_Retriever,Large,Female,8,46,?,Very_Active,Hard_food,Purina,1,Yes,No,No,13,2,Low,2,60,Yes,Yes
Rottweiler,Large,Male,12,45,?,Active,Wet_food,Royal_Canin,5,?,No,No,11,3,Low,3,56,Yes,Yes
Australian_Shepherd,Medium,Female,2,65,?,Low,Wet_food,Blue_Buffalo,3,Yes,No,No,12,?,?,2,48,Yes,Yes
Yorkshire_Terrier,Small,Male,8,28,?,Active,Home_cooked,Special,3,No,No,No,13,0,?,3,80,Yes,Yes
Great_Dane,Large,Male,6,44,Spayed,Moderate,Home_cooked,Special,2,No,Yes,No,11,2,Active,4,60,Yes,Yes
?,Large,Male,7,44,Spayed,?,Special_diet,Iams,0,Yes,Yes,No,11,1,Very_Active,2,50,Yes,Yes
Bulldog,Medium,Male,2,56,?,?,Hard_food,?,3,No,No,No,9,2,Moderate,1,76,Yes,Yes
Poodle,Small,Male,6,55,Neutered,Low,Home_cooked,Special,3,No,No,No,13,2,Very_Active,2,58,Yes,Yes
Boxer,Medium,Female,11,50,Spayed,Very_Active,Hard_food,Nutro,4,No,No,No,9,2,?,1,50,Yes,Yes
Poodle,Small,Female,13,32,Spayed,?,Home_cooked,Special,4,Yes,Yes,No,11,2,Very_Active,0,42,?,No
Yorkshire_Terrier,Small,Female,1,48,Neutered,?,Home_cooked,Special,3,Yes,Yes,No,12,2,?,3,50,Yes,Yes
Doberman,Large,Male,2,54,Spayed,Active,Home_cooked,Special,2,No,Yes,No,12,2,Very_Active,1,80,Yes,Yes
Bulldog,Medium,Female,8,73,Neutered,Very_Active,?,Blue_Buffalo,2,Yes,Yes,Yes,9,4,Very_Active,2,78,Yes,Yes
Yorkshire_Terrier,?,Male,10,36,Neutered,Low,Hard_food,Nutro,3,No,No,No,11,2,Active,2,56,Yes,Yes
Poodle,Small,Female,2,37,?,Moderate,?,Royal_Canin,2,No,Yes,No,11,1,?,2,70,?,No
Chihuahua,Small,Female,13,25,Spayed,Active,Home_cooked,Special,2,Yes,Yes,No,12,1,Low,1,52,Yes,Yes
German_Shepherd,Large,Female,2,40,Neutered,Moderate,Wet_food,Iams,2,No,No,No,13,0,Low,3,72,Yes,Yes
Golden_Retriever,Large,Female,10,55,Neutered,Very_Active,Wet_food,Royal_Canin,3,Yes,Yes,No,11,0,Very_Active,0,30,Yes,No
Doberman,Large,?,6,33,?,Active,Wet_food,Purina,2,No,Yes,No,13,0,Very_Active,2,81,Yes,Yes
Doberman,Large,Female,2,23,Spayed,?,Hard_food,Wellness,3,Yes,No,No,14,2,Moderate,2,70,Yes,Yes
Golden_Retriever,Large,Female,9,44,Neutered,Very_Active,?,Special,2,No,Yes,No,?,1,?,0,49,Yes,Yes
Australian_Shepherd,Medium,Female,11,50,Spayed,?,Hard_food,Wellness,1,No,Yes,No,9,1,Low,1,55,Yes,No
Boxer,Medium,Female,10,43,Neutered,Active,Wet_food,Hills_Science,4,No,No,No,14,1,?,1,55,?,Yes
Australian_Shepherd,Medium,?,13,45,Spayed,Very_Active,Special_diet,Blue_Buffalo,2,Yes,No,No,11,4,Active,1,58,Yes,Yes
Bulldog,Medium,Male,10,19,Spayed,?,Special_diet,Blue_Buffalo,?,Yes,No,No,11,1,?,1,46,Yes,Yes
Beagle,Small,Female,8,54,Neutered,Active,Wet_food,Wellness,2,No,No,No,8,1,Moderate,1,?,Yes,Yes
Beagle,Small,Female,1,70,Spayed,Very_Active,Wet_food,Blue_Buffalo,4,No,Yes,Yes,11,1,Very_Active,0,74,Yes,No
German_Shepherd,Large,Male,8,46,Neutered,Low,Special_diet,Nutro,4,Yes,No,No,8,2,Very_Active,2,46,Yes,Yes
Labrador_Retriever,Large,Male,2,56,Spayed,Very_Active,Hard_food,Wellness,0,No,Yes,?,12,1,Low,1,?,Yes,Yes
Dachshund,Small,Male,1,35,Neutered,?,Wet_food,Iams,1,?,No,No,14,2,Moderate,1,55,Yes,Yes
Chihuahua,Small,Male,11,50,Spayed,?,Home_cooked,Special,2,No,?,No,9,1,Very_Active,1,80,Yes,Yes
Poodle,Small,Male,1,51,Spayed,Very_Active,Wet_food,Iams,3,Yes,No,No,11,1,Active,1,64,Yes,Yes
German_Shepherd,Large,Female,7,35,Neutered,Active,Hard_food,Purina,2,No,Yes,No,11,3,Active,2,40,Yes,Yes
Great_Dane,Large,Female,10,63,?,Very_Active,Home_cooked,Special,3,No,Yes,No,13,2,Moderate,1,69,Yes,Yes
Chihuahua,Small,Female,5,66,?,Low,Home_cooked,Special,2,?,No,No,12,1,Active,3,65,Yes,Yes
German_Shepherd,Large,Female,11,39,Neutered,?,Special_diet,Blue_Buffalo,2,Yes,No,No,13,3,Moderate,2,61,Yes,Yes
Siberian_Husky,Medium,Female,2,55,Spayed,Active,Special_diet,Pedigree,3,No,Yes,No,12,3,Very_Active,0,51,?,Yes
Australian_Shepherd,Medium,Female,8,45,Neutered,Active,Home_cooked,Special,2,Yes,Yes,No,11,0,?,0,64,Yes,Yes
Great_Dane,Large,Female,9,88,?,Very_Active,Home_cooked,?,1,No,No,No,12,1,?,1,59,Yes,Yes
Rottweiler,Large,Female,7,46,Neutered,Low,Hard_food,Purina,3,No,No,No,14,1,Active,2,77,Yes,Yes
Labrador_Retriever,Large,Female,1,45,Neutered,Very_Active,Wet_food,Iams,3,No,No,No,12,0,Very_Active,2,76,?,Yes
Great_Dane,Large,Male,7,63,Spayed,Moderate,Hard_food,Hills_Science,2,Yes,No,No,13,2,Low,1,64,Yes,Yes
Labrador_Retriever,?,Male,?,70,?,Active,Hard_food,Iams,3,No,No,No,11,3,Moderate,0,89,Yes,No
Doberman,Large,Male,10,69,Neutered,Very_Active,Special_diet,Pedigree,4,No,No,No,13,0,Active,1,74,Yes,Yes
Labrador_Retriever,Large,Female,7,43,?,Active,Hard_food,Nutro,4,No,No,No,12,2,Active,0,57,Yes,Yes
Beagle,Small,Female,9,63,?,?,Hard_food,Wellness,1,No,No,No,12,3,Low,0,63,Yes,No
Rottweiler,Large,Female,3,19,Spayed,Active,Home_cooked,Special,2,No,Yes,No,11,0,Low,1,52,Yes,Yes
Labrador_Retriever,Large,Female,10,?,?,Active,Wet_food,Wellness,1,Yes,No,No,9,4,?,?,57,Yes,No
Beagle,Small,Male,8,22,Neutered,Moderate,Home_cooked,Special,3,Yes,Yes,No,11,2,Active,4,50,Yes,Yes
Boxer,Medium,Female,2,37,?,Very_Active,Wet_food,Nutro,3,No,Yes,No,13,3,Low,3,48,Yes,Yes
Poodle,Small,Male,8,40,Spayed,Very_Active,Home_cooked,Special,?,Yes,Yes,No,8,2,?,0,62,Yes,Yes
German_Shepherd,Large,Male,11,46,?,Active,Wet_food,Hills_Science,3,No,No,Yes,12,3,Active,0,59,Yes,No
Beagle,Small,Female,5,57,Neutered,?,Home_cooked,Special,3,Yes,No,No,12,1,Very_Active,0,57,Yes,Yes
Australian_Shepherd,Medium,Male,11,24,Neutered,Low,Special_diet,Wellness,3,No,Yes,No,12,0,Active,1,76,Yes,No
Golden_Retriever,Large,Female,4,44,?,Low,Special_diet,Purina,3,No,Yes,No,?,3,Moderate,3,67,Yes,Yes
Beagle,Small,Female,2,62,Spayed,Moderate,Hard_food,Iams,5,No,No,No,10,?,?,0,49,Yes,Yes
?,Large,Male,3,39,Neutered,Low,Hard_food,Blue_Buffalo,3,Yes,Yes,No,8,2,?,1,70,Yes,Yes
Labrador_Retriever,Large,Female,3,31,?,?,Wet_food,Wellness,6,No,No,No,10,?,Active,3,54,Yes,Yes
Siberian_Husky,Medium,Male,?,46,Neutered,Very_Active,Special_diet,Purina,3,No,Yes,No,12,0,Very_Active,2,70,Yes,Yes
Doberman,Large,Male,10,19,Spayed,Very_Active,Hard_food,Hills_Science,0,No,Yes,No,9,2,Moderate,0,60,Yes,No
Doberman,Large,Male,3,37,?,?,Hard_food,Purina,2,Yes,No,No,11,2,Very_Active,2,53,Yes,Yes
German_Shepherd,Large,Male,8,59,Neutered,Low,Hard_food,Royal_Canin,4,Yes,No,No,10,1,Active,0,35,Yes,Yes
Australian_Shepherd,Medium,Male,4,33,Neutered,?,Wet_food,Royal_Canin,1,No,Yes,No,10,1,Very_Active,0,67,Yes,No
Poodle,Small,Male,2,23,Spayed,Very_Active,Special_diet,Royal_Canin,3,Yes,No,No,12,2,Moderate,0,90,Yes,Yes
Yorkshire_Terrier,Small,Female,7,48,Neutered,Very_Active,Home_cooked,Special,2,Yes,Yes,No,12,2,?,?,78,Yes,Yes
Australian_Shepherd,Medium,Female,5,70,Spayed,Moderate,Special_diet,Blue_Buffalo,3,Yes,No,No,11,1,Active,1,59,Yes,Yes
Doberman,Large,Male,5,45,Neutered,Very_Active,Wet_food,Wellness,5,No,Yes,No,12,1,Low,1,79,Yes,Yes
Australian_Shepherd,Medium,Female,4,55,Neutered,Moderate,Home_cooked,Special,3,No,Yes,No,9,1,Very_Active,0,31,Yes,Yes
German_Shepherd,Large,Female,7,46,?,Active,Home_cooked,Special,4,No,No,No,10,1,Moderate,3,59,Yes,Yes
Great_Dane,Large,Female,8,63,Neutered,?,Wet_food,Royal_Canin,2,No,Yes,No,11,1,?,3,50,Yes,Yes
?,Large,Female,11,47,?,Low,Home_cooked,Special,1,No,No,No,11,2,Active,3,34,Yes,Yes
Labrador_Retriever,Large,Male,11,56,?,Low,Home_cooked,Special,0,No,No,No,13,3,Very_Active,0,58,Yes,No
Poodle,Small,Female,8,55,?,Very_Active,Special_diet,Purina,3,No,Yes,No,9,0,?,2,88,Yes,Yes
Doberman,Large,Female,13,49,Neutered,Very_Active,Hard_food,Pedigree,2,Yes,Yes,No,9,2,Low,1,61,Yes,Yes
Siberian_Husky,Medium,Female,9,67,Spayed,Active,Hard_food,Iams,3,Yes,No,No,10,1,Active,1,35,Yes,Yes
