ID,Breed,Breed_Size,Sex,Age,Weight_lbs,SpayNeuter_Status,Daily_Activity_Level,Diet,Food_Brand,Daily_Walk_Distance_miles,Other_Pets_in_Household,Medications,Seizures,Hours_of_Sleep,Play_Time_hrs,Owner_Activity_Level,Annual_Vet_Visits,Average_Temperature_F,Synthetic,Healthy
553,Dachshund,Small,Female,1.0,69.0,Spayed,,Home_cooked,Special,0.0,No,Yes,No,8.0,3.0,Low,3.0,80.0,Yes,Yes
554,Bulldog,Medium,Male,8.0,31.0,Spayed,Moderate,Home_cooked,Special,3.0,No,No,No,11.0,3.0,,2.0,66.0,Yes,Yes
555,Golden_Retriever,Large,Female,12.0,46.0,Neutered,Low,Home_cooked,Special,3.0,Yes,Yes,No,11.0,2.0,Moderate,1.0,52.0,Yes,Yes
556,Chihuahua,Small,Female,4.0,54.0,Neutered,Low,Home_cooked,Special,3.0,No,Yes,Yes,11.0,3.0,,0.0,64.0,Yes,No
557,Golden_Retriever,Large,Female,9.0,,Neutered,,Home_cooked,Special,2.0,Yes,No,No,12.0,2.0,,4.0,58.0,Yes,Yes
558,Boxer,Medium,Female,13.0,15.0,Spayed,Moderate,Home_cooked,Special,2.0,Yes,No,No,9.0,3.0,,4.0,62.0,Yes,Yes
559,Yorkshire_Terrier,Small,Female,3.0,72.0,,Moderate,Special_diet,Purina,3.0,No,No,No,9.0,2.0,Active,0.0,64.0,Yes,Yes
560,Dachshund,Small,Female,9.0,31.0,,Moderate,Special_diet,Purina,1.0,No,No,No,10.0,2.0,Low,2.0,89.0,Yes,Yes
561,Rottweiler,Large,Male,11.0,55.0,Neutered,Low,Special_diet,Wellness,3.0,No,No,No,10.0,1.0,Active,1.0,61.0,Yes,Yes
562,Bulldog,Medium,Female,11.0,60.0,Neutered,Low,Home_cooked,Special,4.0,Yes,No,No,12.0,2.0,Low,1.0,55.0,Yes,Yes
563,Rottweiler,Large,Female,9.0,10.0,,Active,Wet_food,Nutro,4.0,No,Yes,,10.0,1.0,,1.0,69.0,,No
564,Dachshund,Small,Female,2.0,56.0,,Active,Wet_food,Pedigree,1.0,,No,Yes,10.0,,Very_Active,3.0,48.0,Yes,Yes
565,Poodle,Small,Male,10.0,56.0,Spayed,Moderate,Home_cooked,Special,3.0,Yes,No,No,12.0,1.0,Very_Active,2.0,95.0,Yes,Yes
566,Doberman,Large,Male,6.0,69.0,,Very_Active,Hard_food,Iams,2.0,Yes,No,No,,2.0,Low,1.0,56.0,Yes,Yes
567,Great_Dane,Large,Female,12.0,42.0,,Very_Active,Wet_food,Hills_Science,0.0,No,No,No,12.0,2.0,,2.0,69.0,Yes,Yes
568,Great_Dane,Large,Male,10.0,26.0,Neutered,Active,Wet_food,Purina,3.0,Yes,Yes,No,12.0,0.0,,4.0,77.0,Yes,Yes
569,Poodle,Small,Female,,61.0,Neutered,Moderate,Hard_food,Pedigree,0.0,Yes,No,No,11.0,2.0,Very_Active,3.0,47.0,Yes,Yes
570,Golden_Retriever,Large,Male,1.0,79.0,,Very_Active,Hard_food,Hills_Science,4.0,No,No,No,11.0,0.0,Very_Active,3.0,50.0,Yes,Yes
571,Bulldog,Medium,Female,7.0,80.0,Spayed,Active,Hard_food,Wellness,1.0,No,Yes,No,13.0,1.0,Very_Active,,64.0,Yes,Yes
572,Poodle,Small,Male,9.0,54.0,,Very_Active,Wet_food,Nutro,3.0,Yes,Yes,No,14.0,1.0,,0.0,68.0,Yes,No
573,German_Shepherd,Large,Male,9.0,66.0,Spayed,Very_Active,Home_cooked,Special,3.0,No,Yes,No,11.0,2.0,Low,4.0,82.0,Yes,Yes
574,Siberian_Husky,Medium,Male,9.0,35.0,,,Home_cooked,Special,4.0,No,Yes,No,8.0,3.0,Very_Active,2.0,,Yes,No
575,Beagle,Small,Male,6.0,41.0,Neutered,Very_Active,Home_cooked,Special,2.0,No,No,Yes,9.0,2.0,Active,1.0,52.0,Yes,Yes
576,Beagle,Small,Female,5.0,26.0,,Very_Active,Home_cooked,Special,2.0,No,No,Yes,12.0,1.0,Moderate,1.0,65.0,Yes,Yes
577,Labrador_Retriever,Large,Male,4.0,54.0,,Very_Active,Special_diet,Nutro,3.0,Yes,No,No,,2.0,Active,1.0,52.0,Yes,Yes
578,Dachshund,Small,Female,4.0,40.0,Spayed,Active,Hard_food,Pedigree,2.0,Yes,No,No,10.0,3.0,,2.0,93.0,Yes,Yes
579,Golden_Retriever,Large,Male,3.0,38.0,Neutered,,Wet_food,Pedigree,3.0,Yes,Yes,No,14.0,3.0,Very_Active,2.0,52.0,Yes,Yes
580,Beagle,Small,Female,13.0,62.0,Neutered,,Home_cooked,Special,5.0,No,Yes,No,14.0,1.0,Low,,,Yes,Yes
581,Siberian_Husky,Medium,Male,2.0,106.0,Spayed,Active,Wet_food,Wellness,2.0,Yes,No,No,9.0,2.0,Active,0.0,58.0,Yes,Yes
582,Labrador_Retriever,Large,Male,11.0,23.0,,Moderate,Wet_food,Pedigree,3.0,Yes,No,No,11.0,0.0,Low,0.0,,,No
583,Rottweiler,Large,Male,5.0,39.0,,,Home_cooked,Special,4.0,No,No,No,9.0,2.0,Active,1.0,71.0,Yes,Yes
584,Poodle,Small,Male,3.0,50.0,Neutered,Very_Active,Home_cooked,Special,3.0,No,No,No,9.0,1.0,Very_Active,2.0,54.0,Yes,Yes
585,Australian_Shepherd,Medium,Male,13.0,51.0,Neutered,Active,Home_cooked,Special,0.0,No,Yes,No,12.0,1.0,,1.0,96.0,Yes,Yes
586,Yorkshire_Terrier,Small,Male,3.0,54.0,,Low,Special_diet,Hills_Science,3.0,No,Yes,No,12.0,1.0,,2.0,67.0,Yes,Yes
587,Dachshund,Small,Male,13.0,62.0,,Low,Home_cooked,Special,2.0,Yes,Yes,No,10.0,1.0,Low,2.0,100.0,Yes,No
588,Great_Dane,Large,Female,4.0,61.0,Spayed,Very_Active,Wet_food,Hills_Science,5.0,No,No,No,12.0,2.0,Moderate,1.0,44.0,Yes,Yes
589,Dachshund,Small,,12.0,,,,Wet_food,,2.0,No,Yes,No,12.0,1.0,Low,1.0,50.0,Yes,No
590,Golden_Retriever,Large,Female,8.0,81.0,,Low,Hard_food,Hills_Science,2.0,No,Yes,No,12.0,2.0,,,77.0,Yes,No
591,Siberian_Husky,Medium,Male,10.0,78.0,Spayed,,Wet_food,Blue_Buffalo,5.0,Yes,Yes,No,10.0,1.0,Active,1.0,76.0,Yes,No
592,Boxer,Medium,Male,5.0,62.0,Spayed,,Hard_food,Pedigree,0.0,No,Yes,No,9.0,0.0,Very_Active,1.0,61.0,Yes,Yes
593,Labrador_Retriever,Large,Female,9.0,40.0,Neutered,,Hard_food,Purina,6.0,No,Yes,No,10.0,,Active,0.0,65.0,Yes,No
594,Australian_Shepherd,Medium,Female,1.0,50.0,Spayed,Moderate,Hard_food,Purina,4.0,No,No,No,12.0,1.0,Very_Active,0.0,54.0,Yes,No
595,Doberman,Large,Male,1.0,,Spayed,,Hard_food,Iams,1.0,No,No,No,11.0,1.0,Low,1.0,52.0,Yes,Yes
596,Labrador_Retriever,Large,Female,9.0,53.0,Spayed,Active,Hard_food,,3.0,No,Yes,No,8.0,0.0,Very_Active,1.0,49.0,Yes,Yes
597,Rottweiler,Large,Female,4.0,65.0,Spayed,Active,Special_diet,Purina,3.0,No,Yes,No,9.0,0.0,Moderate,0.0,64.0,Yes,Yes
598,Golden_Retriever,Large,,4.0,60.0,Neutered,,Hard_food,Hills_Science,5.0,No,Yes,No,10.0,2.0,,1.0,65.0,Yes,Yes
599,Yorkshire_Terrier,Small,Male,7.0,37.0,Neutered,Low,Home_cooked,Special,1.0,No,Yes,No,12.0,1.0,Very_Active,2.0,67.0,Yes,Yes
600,Chihuahua,Small,Female,2.0,55.0,Neutered,Active,Home_cooked,Special,3.0,No,No,No,9.0,,,0.0,62.0,Yes,Yes
601,Australian_Shepherd,Medium,Female,13.0,,Spayed,Very_Active,Special_diet,Blue_Buffalo,4.0,No,No,No,11.0,1.0,Moderate,1.0,56.0,Yes,Yes
602,Labrador_Retriever,Large,Male,10.0,31.0,,Low,Hard_food,Wellness,,No,Yes,No,12.0,2.0,Moderate,2.0,76.0,Yes,
603,Labrador_Retriever,Large,Female,11.0,71.0,,Moderate,Home_cooked,Special,1.0,No,No,No,12.0,0.0,Low,1.0,52.0,Yes,Yes
604,Bulldog,Medium,Male,12.0,41.0,Neutered,Moderate,Hard_food,Royal_Canin,4.0,Yes,Yes,No,9.0,1.0,,3.0,57.0,Yes,No
605,Rottweiler,Large,Male,2.0,40.0,Neutered,Low,Special_diet,Purina,3.0,No,Yes,No,,4.0,Very_Active,1.0,78.0,Yes,Yes
606,German_Shepherd,Large,Female,2.0,82.0,Neutered,Moderate,Home_cooked,Special,4.0,Yes,No,No,13.0,0.0,,4.0,57.0,Yes,Yes
607,Siberian_Husky,Medium,Female,13.0,57.0,Spayed,Very_Active,Hard_food,Nutro,1.0,Yes,Yes,No,13.0,1.0,Very_Active,1.0,80.0,Yes,Yes
608,Labrador_Retriever,Large,Female,4.0,65.0,Spayed,,Special_diet,Nutro,1.0,No,No,No,11.0,1.0,Active,3.0,79.0,Yes,Yes
609,Boxer,Medium,Male,12.0,45.0,Spayed,Very_Active,Home_cooked,Special,2.0,No,Yes,No,9.0,2.0,Active,0.0,57.0,Yes,Yes
610,Siberian_Husky,Medium,Female,9.0,60.0,Neutered,,Hard_food,Purina,3.0,No,No,No,12.0,1.0,Active,1.0,80.0,Yes,Yes
611,Australian_Shepherd,Medium,Female,10.0,45.0,,Moderate,Hard_food,Nutro,2.0,No,Yes,No,10.0,2.0,Moderate,1.0,50.0,Yes,
612,Chihuahua,Small,Female,6.0,38.0,Neutered,Very_Active,Wet_food,Iams,1.0,Yes,No,No,12.0,1.0,Very_Active,3.0,68.0,Yes,Yes
613,Australian_Shepherd,Medium,Female,4.0,30.0,,Moderate,Home_cooked,Special,2.0,No,No,No,10.0,1.0,Moderate,2.0,93.0,Yes,Yes
614,Boxer,Medium,Female,1.0,48.0,Spayed,,Home_cooked,Special,1.0,Yes,Yes,No,11.0,0.0,,1.0,57.0,Yes,Yes
615,Rottweiler,Large,Male,11.0,36.0,Neutered,Active,,Blue_Buffalo,4.0,No,Yes,No,12.0,1.0,Very_Active,2.0,77.0,Yes,Yes
616,Dachshund,Small,Male,9.0,44.0,Spayed,Very_Active,Hard_food,Blue_Buffalo,2.0,No,No,No,10.0,1.0,Active,1.0,79.0,Yes,Yes
617,Boxer,Medium,Female,12.0,66.0,,Low,Home_cooked,Special,3.0,Yes,Yes,No,12.0,1.0,Low,1.0,66.0,Yes,No
618,German_Shepherd,Large,Male,6.0,67.0,Neutered,,Hard_food,Iams,1.0,Yes,Yes,No,11.0,,Moderate,1.0,30.0,Yes,Yes
619,Bulldog,Medium,Female,,49.0,Neutered,Low,Home_cooked,Special,1.0,No,No,No,10.0,2.0,Very_Active,2.0,81.0,Yes,Yes
620,Boxer,Medium,Male,13.0,,Spayed,Low,Hard_food,Iams,3.0,No,Yes,No,12.0,1.0,Moderate,1.0,67.0,Yes,No
621,Yorkshire_Terrier,Small,Male,4.0,32.0,Neutered,Low,Wet_food,Royal_Canin,5.0,Yes,Yes,No,11.0,1.0,Moderate,2.0,62.0,Yes,Yes
622,Rottweiler,Large,Female,10.0,29.0,Neutered,,Special_diet,Hills_Science,6.0,Yes,Yes,No,12.0,2.0,Active,2.0,60.0,Yes,Yes
623,Siberian_Husky,Medium,Male,1.0,33.0,,Active,Special_diet,Pedigree,2.0,No,No,No,12.0,1.0,Low,2.0,70.0,Yes,Yes
624,Doberman,Large,Female,8.0,51.0,Neutered,Active,Home_cooked,Special,1.0,No,Yes,No,11.0,0.0,Very_Active,4.0,59.0,Yes,Yes
625,,Medium,Female,2.0,49.0,Neutered,Low,Hard_food,Hills_Science,3.0,Yes,No,No,11.0,1.0,Low,1.0,68.0,Yes,Yes
626,Beagle,Small,Male,2.0,23.0,Spayed,Low,Home_cooked,Special,1.0,No,Yes,No,9.0,2.0,Low,1.0,63.0,Yes,Yes
627,Siberian_Husky,Medium,Female,8.0,77.0,,Very_Active,Wet_food,Purina,3.0,No,Yes,No,14.0,3.0,Moderate,1.0,85.0,Yes,Yes
628,Yorkshire_Terrier,Small,Female,10.0,66.0,,Low,Home_cooked,Special,0.0,No,Yes,No,10.0,1.0,Active,3.0,68.0,Yes,No
629,Siberian_Husky,Medium,Female,11.0,44.0,,Very_Active,Special_diet,Purina,3.0,No,Yes,No,14.0,2.0,,0.0,80.0,Yes,No
630,Great_Dane,Large,Male,11.0,63.0,,Low,Home_cooked,Special,4.0,No,Yes,No,11.0,2.0,,2.0,89.0,Yes,No
631,Golden_Retriever,Large,Male,4.0,49.0,Spayed,Active,Special_diet,Hills_Science,1.0,No,Yes,No,9.0,3.0,Moderate,2.0,85.0,Yes,Yes
632,Doberman,Large,Female,11.0,68.0,,Low,Hard_food,Iams,2.0,Yes,Yes,No,10.0,2.0,Low,3.0,56.0,Yes,No
633,Australian_Shepherd,Medium,Male,4.0,33.0,Neutered,Low,Wet_food,Purina,1.0,No,Yes,No,13.0,1.0,Moderate,2.0,75.0,Yes,Yes
634,Beagle,Small,Female,4.0,52.0,Neutered,,Hard_food,Wellness,3.0,No,No,No,10.0,1.0,Very_Active,1.0,64.0,Yes,Yes
635,Yorkshire_Terrier,Small,Male,4.0,39.0,Spayed,Active,Home_cooked,Special,1.0,Yes,Yes,No,12.0,0.0,Moderate,1.0,68.0,Yes,Yes
636,Rottweiler,Large,Female,13.0,24.0,,,Wet_food,Pedigree,2.0,No,No,No,13.0,1.0,Moderate,0.0,56.0,Yes,No
637,Yorkshire_Terrier,Small,Male,4.0,69.0,Spayed,Active,Home_cooked,Special,4.0,No,No,No,12.0,3.0,Very_Active,1.0,46.0,Yes,Yes
638,Beagle,Small,Male,3.0,30.0,Spayed,Active,Hard_food,Iams,3.0,No,Yes,No,,0.0,Moderate,0.0,63.0,Yes,Yes
639,Chihuahua,Small,Female,1.0,57.0,Neutered,Very_Active,Hard_food,Iams,1.0,No,Yes,No,10.0,2.0,Moderate,1.0,50.0,Yes,Yes
640,Beagle,Small,Female,2.0,24.0,Neutered,Very_Active,Wet_food,Iams,4.0,No,No,No,9.0,1.0,Low,2.0,50.0,Yes,Yes
641,Golden_Retriever,,Male,11.0,57.0,,,,Wellness,3.0,Yes,Yes,No,10.0,1.0,Active,3.0,65.0,Yes,No
642,Doberman,Large,Female,3.0,48.0,,Very_Active,Wet_food,Royal_Canin,1.0,No,No,No,11.0,1.0,,,47.0,Yes,Yes
643,Dachshund,Small,Male,11.0,32.0,Neutered,Active,Hard_food,Iams,1.0,Yes,No,No,13.0,2.0,,1.0,39.0,Yes,Yes
644,Chihuahua,Small,Female,6.0,62.0,Neutered,,Special_diet,Blue_Buffalo,3.0,No,No,No,8.0,1.0,Moderate,2.0,88.0,Yes,Yes
645,Poodle,Small,Female,2.0,,,Low,,Hills_Science,2.0,Yes,No,No,14.0,2.0,Active,,31.0,Yes,Yes
646,Great_Dane,Large,Male,10.0,60.0,,Very_Active,Wet_food,,1.0,No,Yes,No,12.0,1.0,Very_Active,3.0,74.0,,No
647,Labrador_Retriever,Large,Female,1.0,49.0,,Moderate,Special_diet,Nutro,3.0,Yes,No,No,12.0,3.0,,1.0,56.0,Yes,Yes
648,Great_Dane,Large,Male,10.0,76.0,Spayed,Very_Active,,Hills_Science,2.0,No,No,No,8.0,1.0,Low,2.0,,Yes,Yes
649,Poodle,Small,Male,11.0,54.0,,Very_Active,Hard_food,Blue_Buffalo,4.0,No,No,No,11.0,0.0,Low,1.0,71.0,Yes,Yes
650,Beagle,Small,Female,10.0,56.0,Spayed,Very_Active,Wet_food,Iams,1.0,Yes,No,No,11.0,1.0,,0.0,69.0,Yes,Yes
651,Chihuahua,Small,Male,11.0,45.0,,,Home_cooked,Special,0.0,No,Yes,No,10.0,2.0,Moderate,1.0,64.0,Yes,No
652,Labrador_Retriever,Large,Female,13.0,,Neutered,Low,,Special,1.0,,No,No,13.0,0.0,,1.0,50.0,Yes,Yes
653,Doberman,Large,Female,12.0,39.0,Neutered,Active,Hard_food,Blue_Buffalo,2.0,Yes,No,No,11.0,0.0,Very_Active,1.0,85.0,Yes,Yes
654,Siberian_Husky,Medium,Male,13.0,41.0,Neutered,,Hard_food,Blue_Buffalo,1.0,Yes,Yes,No,14.0,2.0,Low,1.0,68.0,Yes,No
655,Bulldog,Medium,Female,3.0,51.0,Spayed,Low,Special_diet,Blue_Buffalo,4.0,No,Yes,No,11.0,0.0,,2.0,52.0,Yes,Yes
656,Dachshund,Small,Male,1.0,46.0,Neutered,Active,Wet_food,Royal_Canin,0.0,Yes,Yes,No,11.0,3.0,,0.0,90.0,Yes,No
657,Dachshund,Small,Male,7.0,40.0,,,Home_cooked,Special,5.0,No,Yes,No,9.0,1.0,,2.0,46.0,Yes,
658,Labrador_Retriever,Large,Female,13.0,43.0,Spayed,Active,Hard_food,Pedigree,0.0,No,No,No,12.0,2.0,Very_Active,1.0,68.0,Yes,Yes
659,Great_Dane,Large,Male,3.0,31.0,Spayed,Moderate,Wet_food,Iams,2.0,No,No,No,10.0,2.0,,0.0,70.0,Yes,Yes
660,Yorkshire_Terrier,Small,Male,2.0,43.0,,Very_Active,Hard_food,Pedigree,3.0,Yes,Yes,No,13.0,3.0,Very_Active,1.0,58.0,Yes,Yes
661,Yorkshire_Terrier,Small,Female,8.0,24.0,Neutered,Low,Home_cooked,Special,2.0,Yes,Yes,No,8.0,1.0,Very_Active,3.0,52.0,Yes,Yes
662,,Medium,Male,9.0,61.0,Neutered,,Hard_food,Iams,3.0,Yes,Yes,No,11.0,1.0,Very_Active,1.0,77.0,Yes,No
663,Dachshund,Small,Male,1.0,45.0,,,Special_diet,Royal_Canin,4.0,Yes,Yes,No,12.0,2.0,Moderate,2.0,69.0,Yes,No
664,Golden_Retriever,Large,Female,2.0,62.0,Spayed,Active,Special_diet,Purina,1.0,Yes,Yes,No,8.0,1.0,,0.0,75.0,Yes,Yes
665,Yorkshire_Terrier,Small,Male,3.0,66.0,,Active,Wet_food,Blue_Buffalo,3.0,No,No,No,10.0,1.0,Low,2.0,49.0,Yes,Yes
666,Siberian_Husky,Medium,Female,1.0,51.0,Neutered,Active,,Iams,3.0,No,No,No,13.0,1.0,Active,2.0,69.0,Yes,Yes
667,Siberian_Husky,Medium,Male,4.0,51.0,Neutered,Low,Wet_food,Iams,4.0,No,Yes,No,11.0,1.0,Moderate,1.0,67.0,Yes,Yes
668,German_Shepherd,Large,Male,1.0,56.0,Neutered,,Special_diet,Wellness,4.0,Yes,No,No,11.0,3.0,Moderate,3.0,73.0,Yes,Yes
669,Boxer,,Male,12.0,77.0,Spayed,Low,Wet_food,Purina,1.0,No,No,No,12.0,1.0,Moderate,2.0,70.0,Yes,Yes
670,Great_Dane,Large,Male,6.0,46.0,,Moderate,Special_diet,,1.0,Yes,Yes,No,10.0,1.0,,3.0,58.0,Yes,Yes
671,Great_Dane,Large,Male,12.0,36.0,Neutered,Moderate,Special_diet,,3.0,Yes,No,No,14.0,4.0,,1.0,45.0,Yes,Yes
672,Great_Dane,Large,Female,3.0,40.0,Spayed,Low,Hard_food,Wellness,0.0,No,Yes,,11.0,0.0,Low,1.0,64.0,Yes,Yes
673,Beagle,Small,Female,13.0,67.0,Spayed,,Home_cooked,Special,2.0,No,Yes,No,10.0,4.0,Active,2.0,50.0,Yes,Yes
674,Bulldog,Medium,Male,13.0,57.0,,Active,Wet_food,Hills_Science,3.0,No,No,No,14.0,1.0,Moderate,3.0,71.0,Yes,Yes
675,Yorkshire_Terrier,Small,Female,3.0,53.0,Neutered,,Hard_food,Nutro,5.0,No,No,No,9.0,2.0,Low,1.0,72.0,Yes,Yes
676,Rottweiler,Large,Male,4.0,51.0,,Very_Active,Home_cooked,Special,3.0,Yes,Yes,No,13.0,2.0,Moderate,4.0,62.0,Yes,Yes
677,Golden_Retriever,Large,Female,7.0,60.0,Spayed,,Wet_food,Iams,3.0,Yes,No,No,10.0,2.0,Very_Active,,45.0,Yes,Yes
678,Siberian_Husky,Medium,Female,6.0,29.0,Neutered,Very_Active,Hard_food,Pedigree,2.0,Yes,No,No,8.0,2.0,Active,0.0,51.0,Yes,Yes
679,Australian_Shepherd,Medium,Male,10.0,,Neutered,,Wet_food,Wellness,1.0,No,No,No,11.0,2.0,Active,1.0,59.0,Yes,Yes
680,Labrador_Retriever,Large,Male,8.0,37.0,,Very_Active,Hard_food,Hills_Science,2.0,No,Yes,No,13.0,2.0,Active,2.0,53.0,Yes,Yes
681,Labrador_Retriever,Large,Male,9.0,51.0,Neutered,Low,Hard_food,Wellness,0.0,Yes,Yes,No,12.0,2.0,Moderate,2.0,63.0,Yes,No
682,Golden_Retriever,Large,Male,,63.0,Spayed,Very_Active,Hard_food,Hills_Science,3.0,Yes,No,No,10.0,1.0,Very_Active,2.0,62.0,Yes,Yes
683,Dachshund,Small,Male,6.0,71.0,,Very_Active,Home_cooked,Special,3.0,No,No,No,13.0,2.0,Very_Active,1.0,87.0,Yes,Yes
684,Poodle,Small,Female,1.0,59.0,Neutered,Very_Active,Home_cooked,Special,3.0,Yes,No,No,14.0,3.0,Moderate,3.0,54.0,Yes,Yes
685,Bulldog,Medium,Male,12.0,48.0,Neutered,,Wet_food,Wellness,0.0,Yes,Yes,No,13.0,2.0,Active,1.0,37.0,Yes,No
686,Boxer,Medium,Male,5.0,66.0,,Active,Hard_food,Pedigree,3.0,No,No,No,12.0,2.0,Very_Active,4.0,73.0,Yes,Yes
687,German_Shepherd,Large,Male,12.0,,Neutered,Low,Home_cooked,Special,3.0,No,No,Yes,11.0,1.0,,3.0,35.0,Yes,Yes
688,Boxer,Medium,Male,13.0,48.0,Neutered,,Home_cooked,Special,3.0,Yes,No,No,12.0,1.0,Low,1.0,,Yes,Yes
689,Beagle,Small,Male,8.0,48.0,Spayed,,Wet_food,Iams,4.0,Yes,No,No,10.0,1.0,Low,2.0,55.0,Yes,Yes
690,Doberman,Large,Female,13.0,53.0,Spayed,Very_Active,Special_diet,Iams,3.0,Yes,Yes,Yes,12.0,0.0,Moderate,2.0,63.0,Yes,Yes
691,Chihuahua,Small,Male,2.0,79.0,Spayed,Low,Home_cooked,Special,1.0,Yes,Yes,No,12.0,2.0,,2.0,76.0,Yes,Yes
692,Siberian_Husky,Medium,Female,6.0,51.0,Neutered,Moderate,Wet_food,Wellness,3.0,Yes,Yes,No,10.0,1.0,Low,2.0,42.0,Yes,Yes
693,Poodle,Small,Male,5.0,48.0,Spayed,,Wet_food,Purina,1.0,Yes,No,No,9.0,0.0,Moderate,2.0,60.0,Yes,Yes
694,Great_Dane,Large,Female,4.0,26.0,,,Special_diet,Hills_Science,0.0,Yes,Yes,No,8.0,0.0,,3.0,55.0,Yes,
695,Dachshund,Small,Male,2.0,21.0,Neutered,Very_Active,Home_cooked,Special,2.0,No,Yes,No,14.0,2.0,Very_Active,3.0,87.0,Yes,Yes
696,Labrador_Retriever,Large,Female,6.0,65.0,Neutered,Very_Active,Wet_food,Nutro,2.0,No,Yes,,8.0,0.0,Very_Active,3.0,61.0,Yes,Yes
697,Bulldog,Medium,Female,8.0,53.0,,Low,Wet_food,Blue_Buffalo,1.0,No,No,No,10.0,1.0,,0.0,,Yes,No
698,Chihuahua,Small,Female,11.0,51.0,,,Special_diet,Purina,4.0,Yes,Yes,No,9.0,0.0,Moderate,0.0,100.0,Yes,No
699,Labrador_Retriever,Large,Male,12.0,,,,Wet_food,Nutro,1.0,Yes,No,No,11.0,3.0,Very_Active,1.0,80.0,Yes,No
700,Dachshund,Small,Female,7.0,38.0,,Low,Special_diet,Blue_Buffalo,3.0,Yes,Yes,No,13.0,2.0,,1.0,59.0,,Yes
701,Labrador_Retriever,Large,Male,3.0,50.0,Neutered,,,Special,3.0,Yes,Yes,No,9.0,2.0,Active,2.0,54.0,Yes,Yes
702,Chihuahua,Small,Female,4.0,23.0,Spayed,Active,Wet_food,Hills_Science,2.0,Yes,Yes,No,12.0,2.0,Active,2.0,64.0,Yes,Yes
703,Yorkshire_Terrier,Small,Female,7.0,73.0,Spayed,Low,Hard_food,Blue_Buffalo,3.0,No,Yes,No,11.0,2.0,Very_Active,2.0,79.0,Yes,Yes
704,Poodle,Small,Female,11.0,47.0,,,Hard_food,Blue_Buffalo,1.0,Yes,,No,12.0,0.0,Moderate,3.0,45.0,Yes,No
705,Boxer,Medium,Male,5.0,52.0,Spayed,Low,Hard_food,Blue_Buffalo,0.0,Yes,No,No,10.0,2.0,Moderate,3.0,44.0,Yes,Yes
706,Dachshund,Small,Male,5.0,66.0,,Very_Active,Hard_food,Royal_Canin,5.0,Yes,No,No,11.0,3.0,,1.0,54.0,Yes,Yes
707,Poodle,Small,Male,13.0,23.0,Spayed,Active,Wet_food,Royal_Canin,0.0,No,Yes,No,10.0,3.0,Active,0.0,79.0,Yes,No
708,Beagle,Small,Male,12.0,32.0,Spayed,Moderate,Special_diet,Blue_Buffalo,5.0,No,Yes,No,10.0,3.0,Active,0.0,91.0,Yes,No
709,Australian_Shepherd,Medium,Male,2.0,44.0,,,Wet_food,Pedigree,3.0,No,No,No,10.0,1.0,Moderate,3.0,84.0,Yes,Yes
710,Doberman,Large,Female,5.0,53.0,,Low,Home_cooked,Special,2.0,No,No,No,13.0,0.0,Active,0.0,60.0,Yes,Yes
711,Beagle,Small,Male,7.0,33.0,Spayed,,Wet_food,Nutro,1.0,Yes,No,No,10.0,1.0,Active,1.0,63.0,Yes,Yes
712,Doberman,Large,Male,13.0,47.0,Neutered,Moderate,Home_cooked,Special,2.0,Yes,Yes,No,11.0,3.0,Active,1.0,72.0,Yes,Yes
713,Bulldog,Medium,Female,12.0,53.0,,Moderate,Hard_food,Blue_Buffalo,1.0,No,Yes,No,,1.0,,2.0,71.0,Yes,No
714,Yorkshire_Terrier,Small,Female,9.0,27.0,,Active,Wet_food,Iams,3.0,No,,No,9.0,2.0,,3.0,83.0,Yes,Yes
715,,Medium,Female,4.0,64.0,Spayed,Active,Wet_food,Purina,0.0,,No,No,13.0,3.0,Very_Active,3.0,94.0,Yes,Yes
716,Dachshund,Small,Female,9.0,35.0,Spayed,Active,Home_cooked,Special,1.0,No,Yes,No,10.0,,Active,1.0,30.0,Yes,Yes
717,Siberian_Husky,Medium,Male,7.0,42.0,Spayed,,Home_cooked,Special,1.0,Yes,No,No,11.0,2.0,Moderate,0.0,94.0,Yes,Yes
718,Boxer,Medium,Female,2.0,70.0,Neutered,Very_Active,Hard_food,Nutro,2.0,Yes,No,No,13.0,1.0,,2.0,55.0,Yes,
719,Siberian_Husky,Medium,Male,5.0,61.0,Neutered,Moderate,Home_cooked,Special,3.0,Yes,No,No,9.0,2.0,Low,0.0,50.0,Yes,Yes
720,Dachshund,Small,Female,12.0,78.0,,Active,Home_cooked,Special,1.0,Yes,Yes,No,11.0,1.0,Moderate,3.0,67.0,Yes,Yes
721,Boxer,Medium,Male,2.0,32.0,Neutered,Active,Special_diet,Nutro,1.0,No,No,Yes,11.0,1.0,Moderate,1.0,83.0,Yes,Yes
722,Yorkshire_Terrier,Small,Female,13.0,39.0,Neutered,Moderate,Hard_food,Blue_Buffalo,4.0,,No,No,12.0,1.0,Moderate,2.0,76.0,Yes,Yes
723,Australian_Shepherd,Medium,Male,2.0,48.0,Neutered,Active,Wet_food,Iams,3.0,Yes,Yes,No,12.0,3.0,Very_Active,2.0,62.0,Yes,Yes
724,Beagle,Small,Female,1.0,61.0,,,Wet_food,Wellness,4.0,Yes,Yes,No,14.0,3.0,,0.0,42.0,Yes,No
725,Beagle,Small,Female,6.0,49.0,,Active,Wet_food,Pedigree,0.0,Yes,No,,11.0,0.0,Very_Active,2.0,78.0,Yes,Yes
